SKU,Product Name,Category,Quantity,Price,Supplier,Location
WDG001,Wireless Bluetooth Headphones,Electronics,45,$129.99,TechSupplier Inc,Warehouse A
SPK002,portable bluetooth speaker,electronics,23,79.99,AudioCorp,warehouse b
CAB003,USB-C to Lightning Cable,accessories,150,19.99,CableTech,Main Storage
CHR004,wireless phone charger,Electronics,67,$45.00,PowerTech Solutions,Warehouse A
MOU005,Gaming Mouse RGB,Computer Accessories,89,59.99,GameGear Ltd,Storage Room 1
KBD006,mechanical keyboard,computer accessories,34,$99.99,KeyMaster Corp,warehouse a
MON007,24-inch LED Monitor,Electronics,12,199.99,DisplayTech,Main Storage
SPK008,smart home speaker,Electronics,78,89.99,SmartHome Inc,Warehouse B
TAB009,Tablet Stand Adjustable,accessories,95,24.99,StandPro,storage room 2
BAT010,Power Bank 10000mAh,Electronics,126,$39.99,PowerUp Technologies,Main Storage
