date,product,sales,price,cost
2023-01-01,Laptop A,10,999.99,650.00
2023-01-02,Laptop A,8,999.99,650.00
2023-01-03,Laptop A,12,999.99,650.00
2023-01-04,Laptop A,15,999.99,650.00
2023-01-05,Laptop A,9,999.99,650.00
2023-01-06,Laptop A,11,999.99,650.00
2023-01-07,Laptop A,14,999.99,650.00
2023-01-08,Laptop A,7,999.99,650.00
2023-01-09,Laptop A,13,999.99,650.00
2023-01-10,Laptop A,16,999.99,650.00
2023-01-11,Laptop A,10,999.99,650.00
2023-01-12,Laptop A,12,999.99,650.00
2023-01-13,Laptop A,18,999.99,650.00
2023-01-14,Laptop A,14,999.99,650.00
2023-01-15,Laptop A,11,999.99,650.00
2023-01-16,Laptop A,9,999.99,650.00
2023-01-17,Laptop A,15,999.99,650.00
2023-01-18,Laptop A,17,999.99,650.00
2023-01-19,Laptop A,13,999.99,650.00
2023-01-20,Laptop A,20,999.99,650.00
2023-01-21,Laptop A,16,999.99,650.00
2023-01-22,Laptop A,14,999.99,650.00
2023-01-23,Laptop A,12,999.99,650.00
2023-01-24,Laptop A,19,999.99,650.00
2023-01-25,Laptop A,21,999.99,650.00
2023-01-26,Laptop A,15,999.99,650.00
2023-01-27,Laptop A,13,999.99,650.00
2023-01-28,Laptop A,17,999.99,650.00
2023-01-29,Laptop A,22,999.99,650.00
2023-01-30,Laptop A,18,999.99,650.00
2023-02-01,Mouse B,45,29.99,12.00
2023-02-02,Mouse B,52,29.99,12.00
2023-02-03,Mouse B,38,29.99,12.00
2023-02-04,Mouse B,41,29.99,12.00
2023-02-05,Mouse B,47,29.99,12.00
2023-02-06,Mouse B,55,29.99,12.00
2023-02-07,Mouse B,49,29.99,12.00
2023-02-08,Mouse B,43,29.99,12.00
2023-02-09,Mouse B,51,29.99,12.00
2023-02-10,Mouse B,48,29.99,12.00
2023-02-11,Mouse B,44,29.99,12.00
2023-02-12,Mouse B,59,29.99,12.00
2023-02-13,Mouse B,53,29.99,12.00
2023-02-14,Mouse B,46,29.99,12.00
2023-02-15,Mouse B,42,29.99,12.00
2023-02-16,Mouse B,58,29.99,12.00
2023-02-17,Mouse B,51,29.99,12.00
2023-02-18,Mouse B,47,29.99,12.00
2023-02-19,Mouse B,54,29.99,12.00
2023-02-20,Mouse B,49,29.99,12.00
2023-03-01,Keyboard C,25,79.99,35.00
2023-03-02,Keyboard C,28,79.99,35.00
2023-03-03,Keyboard C,22,79.99,35.00
2023-03-04,Keyboard C,30,79.99,35.00
2023-03-05,Keyboard C,27,79.99,35.00
2023-03-06,Keyboard C,32,79.99,35.00
2023-03-07,Keyboard C,29,79.99,35.00
2023-03-08,Keyboard C,24,79.99,35.00
2023-03-09,Keyboard C,31,79.99,35.00
2023-03-10,Keyboard C,26,79.99,35.00
2023-03-11,Keyboard C,33,79.99,35.00
2023-03-12,Keyboard C,28,79.99,35.00
2023-03-13,Keyboard C,25,79.99,35.00
2023-03-14,Keyboard C,34,79.99,35.00
2023-03-15,Keyboard C,30,79.99,35.00
2023-03-16,Keyboard C,27,79.99,35.00
2023-03-17,Keyboard C,29,79.99,35.00
2023-03-18,Keyboard C,35,79.99,35.00
2023-03-19,Keyboard C,32,79.99,35.00
2023-03-20,Keyboard C,28,79.99,35.00
